DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.148              -0.082             0.230         6.563
RESSURF            0.119              -0.092             0.211         4.711
SOLIN            340.348             340.348             0.000         0.000
AAM            1.451e+26           1.334e+26         1.168e+25      -999.000
CHI_200           -0.000              -0.001             0.001         1.393
CLDHGH            37.995              38.465            -0.470         4.601
CLDLOW            37.178              42.333            -5.155         8.315
CLDMED            21.944              26.826            -4.882         7.314
CLDTOT            58.949              63.283            -4.334         7.115
EKE_850           26.107              29.279            -3.173         5.471
EP             3.599e-04          -1.012e-04         4.611e-04         1.016
FLNS              46.492              55.703            -9.211        11.805
FLNSC             64.134              81.240           -17.105        19.130
FLNT             245.700             237.486             8.214        11.064
FLNTC            267.547             261.689             5.857         9.779
FSDS             184.869             187.507            -2.638        12.903
FSDSC            238.288             247.130            -8.842         9.022
FSNS             165.419             163.508             1.911        11.277
FSNSC            214.507             217.858            -3.351        13.634
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       177.324             179.846            -2.522         7.532
FSNT             245.848             237.403             8.444        12.916
FSNTC            291.820             287.041             4.779        13.017
ICEAREA            2.278              19.869           -17.592         0.512
LHFLX            102.154              89.259            12.895        17.505
LWCF              21.847              24.204            -2.357         6.083
PRECT              3.518               3.059             0.459         1.009
PRECT_LAND         2.709               2.210             0.499         0.873
PRECT_OCEAN        3.870               3.568             0.302         1.061
PREH2O            41.936              25.552            16.384        17.767
PREH2O_OCEAN      45.882              29.889            15.993        19.248
PSI_200           -0.024              -0.021            -0.003         0.273
PS               986.999             985.392             1.608         2.691
PSL             1012.648            1011.521             1.127         2.209
QFLX               3.519               3.059             0.459         0.567
SHFLX             16.654              18.638            -1.985         8.007
SNOWHLND           7.921              11.174            -3.253        14.020
SST               26.749              20.555             6.193         6.303
STRESS_MAG         0.056               0.064            -0.008         0.015
SWCF             -45.973             -49.638             3.666        11.814
T_850            288.961             281.023             7.938         8.140
TGCLDLWP          43.269              40.882             2.387        16.037
TGCLDIWP          13.164              16.927            -3.764         8.515
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.112               0.104             0.009         0.033
AODDUST            0.021               0.022            -0.001         0.018
TREFHT           295.786             287.503             8.283         9.004
TS               296.463             288.302             8.161         8.985
TS_LAND          291.957             281.310            10.647        11.044
U_200             16.164              15.836             0.329         2.225
VT_850             0.098               0.137            -0.039         1.287
Z3_500            58.372              56.512             1.860         1.873
