DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             6.634               7.726            -1.092        13.505
RESSURF            5.848               6.939            -1.091        20.114
SOLIN            350.480             350.480             0.000         0.000
AAM            1.523e+26           1.387e+26         1.361e+25      -999.000
CHI_200           -0.004              -0.009             0.005         2.313
CLDHGH            37.987              38.425            -0.439         6.925
CLDLOW            39.510              44.007            -4.497         9.456
CLDMED            22.777              27.658            -4.881         8.351
CLDTOT            60.478              64.410            -3.933         8.772
EKE_850           21.551              25.805            -4.254         7.004
EP            -2.631e-04           5.824e-03        -6.088e-03         1.485
FLNS              45.444              54.564            -9.120        12.751
FLNSC             64.258              80.225           -15.968        20.052
FLNT             243.620             234.839             8.781        14.068
FLNTC            265.105             258.251             6.854        12.908
FSDS             190.789             194.472            -3.683        19.740
FSDSC            248.038             256.703            -8.665         9.669
FSNS             169.004             167.940             1.064        14.808
FSNSC            221.873             225.006            -3.133        19.282
FSNSC_ICE          0.348              22.482           -22.134         0.080
FSNSC_LAND       143.462             143.048             0.414        12.126
FSNT             250.254             242.566             7.689        15.699
FSNTC            299.397             294.410             4.987        18.856
ICEAREA            1.423              18.925           -17.501         0.550
LHFLX            103.651              89.568            14.083        24.323
LWCF              21.484              23.412            -1.927         8.186
PRECT              3.568               3.060             0.508         1.390
PRECT_LAND         2.736               2.205             0.531         1.127
PRECT_OCEAN        3.922               3.559             0.363         1.510
PREH2O            40.191              24.489            15.702        17.663
PREH2O_OCEAN      45.390              29.401            15.989        19.278
PSI_200            0.004               0.007            -0.003         0.440
PS               986.828             985.288             1.541         3.232
PSL             1012.714            1011.776             0.938         2.872
QFLX               3.568               3.066             0.502         0.760
SHFLX             14.061              16.870            -2.809        10.928
SNOWHLND           8.131              11.960            -3.829        14.738
SST               26.743              20.494             6.250         6.372
STRESS_MAG         0.062               0.069            -0.007         0.022
SWCF             -49.142             -51.844             2.702        17.487
T_850            287.452             279.463             7.989         8.298
TGCLDLWP          43.302              39.141             4.161        21.260
TGCLDIWP          12.867              16.810            -3.943        13.459
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.094               0.091             0.002         0.035
AODDUST            0.010               0.013            -0.003         0.015
TREFHT           294.213             285.505             8.708        10.080
TS               294.869             286.288             8.581        10.143
TS_LAND          286.285             274.582            11.703        12.625
U_200             16.750              16.203             0.547         3.530
VT_850            -0.664              -0.824             0.160         2.482
Z3_500            58.153              56.280             1.873         1.894
