DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -9.294              -9.779             0.485        13.716
RESSURF          -11.211             -10.622            -0.588        18.887
SOLIN            330.417             330.417             0.000         0.000
AAM            1.232e+26           1.133e+26         9.959e+24      -999.000
CHI_200            0.006               0.008            -0.002         2.789
CLDHGH            37.610              37.909            -0.299         5.740
CLDLOW            35.909              41.621            -5.712        10.196
CLDMED            21.020              25.791            -4.771         8.567
CLDTOT            57.919              62.542            -4.624         8.808
EKE_850           23.662              25.515            -1.852         5.868
EP             1.908e-02           7.836e-03         1.124e-02         1.357
FLNS              46.531              55.474            -8.942        12.591
FLNSC             62.974              80.977           -18.003        19.976
FLNT             248.948             240.576             8.372        11.730
FLNTC            270.751             265.308             5.443         9.245
FSDS             176.203             177.102            -0.899        15.941
FSDSC            227.716             236.653            -8.937        10.420
FSNS             159.012             156.696             2.316        16.343
FSNSC            206.266             210.817            -4.551        17.942
FSNSC_ICE          0.814              39.827           -39.014         0.163
FSNSC_LAND       210.594             217.539            -6.945        10.409
FSNT             239.654             230.797             8.857        18.091
FSNTC            284.261             280.574             3.687        17.548
ICEAREA            1.826              20.596           -18.770         0.595
LHFLX            104.574              91.589            12.986        20.406
LWCF              21.803              24.732            -2.929         6.976
PRECT              3.582               3.135             0.447         1.336
PRECT_LAND         2.751               2.339             0.412         1.349
PRECT_OCEAN        3.942               3.610             0.332         1.340
PREH2O            44.303              27.009            17.294        19.041
PREH2O_OCEAN      46.780              30.283            16.497        19.946
PSI_200           -0.054              -0.051            -0.003         0.403
PS               987.232             985.535             1.697         2.870
PSL             1012.643            1011.339             1.305         2.504
QFLX               3.601               3.143             0.458         0.648
SHFLX             19.117              20.256            -1.139        10.084
SNOWHLND           7.546              10.229            -2.683        14.254
SST               26.411              20.235             6.176         6.301
STRESS_MAG         0.068               0.076            -0.008         0.018
SWCF             -44.607             -49.777             5.170        14.458
T_850            290.593             282.609             7.984         8.199
TGCLDLWP          44.930              45.059            -0.129        17.880
TGCLDIWP          13.457              17.323            -3.866        10.546
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.138               0.123             0.015         0.047
AODDUST            0.033               0.032             0.001         0.034
TREFHT           297.352             289.312             8.040         8.654
TS               298.007             290.088             7.919         8.664
TS_LAND          297.468             287.363            10.106        10.423
U_200             14.067              13.955             0.113         3.047
VT_850             0.903               1.105            -0.202         1.897
Z3_500            58.667              56.795             1.873         1.886
