DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.365               0.414             0.951        11.170
RESSURF           -0.473              -1.391             0.918        14.459
SOLIN            338.285             338.285             0.000         0.000
AAM            1.559e+26           1.452e+26         1.071e+25      -999.000
CHI_200           -0.007              -0.004            -0.003         2.247
CLDHGH            38.552              39.400            -0.848         6.531
CLDLOW            36.283              41.056            -4.773         9.261
CLDMED            21.830              26.930            -5.100         8.486
CLDTOT            58.948              63.134            -4.186         8.444
EKE_850           23.105              26.439            -3.334         6.128
EP             2.656e-02           1.309e-02         1.347e-02         1.335
FLNS              47.655              56.484            -8.830        12.460
FLNSC             65.193              81.631           -16.438        19.253
FLNT             244.586             236.492             8.093        12.640
FLNTC            267.094             261.427             5.667        10.029
FSDS             185.757             188.811            -3.054        16.452
FSDSC            237.269             245.810            -8.541         9.211
FSNS             166.398             163.634             2.765        16.322
FSNSC            213.465             215.257            -1.792        19.615
FSNSC_ICE         71.997              38.340            33.657        37.050
FSNSC_LAND       193.777             192.737             1.039        16.455
FSNT             245.951             236.906             9.044        17.530
FSNTC            290.132             284.115             6.018        19.693
ICEAREA            2.990              19.333           -16.343         0.598
LHFLX            101.364              88.955            12.409        19.425
LWCF              22.508              24.934            -2.426         7.381
PRECT              3.460               3.034             0.427         1.298
PRECT_LAND         2.625               2.155             0.471         0.892
PRECT_OCEAN        3.841               3.539             0.301         1.455
PREH2O            41.197              25.445            15.752        17.500
PREH2O_OCEAN      45.788              29.780            16.007        19.070
PSI_200           -0.015              -0.015             0.000         0.392
PS               986.927             985.381             1.546         2.988
PSL             1012.595            1011.516             1.079         2.497
QFLX               3.487               3.047             0.440         0.611
SHFLX             17.853              19.585            -1.732         9.007
SNOWHLND           8.094              12.138            -4.043        15.473
SST               26.756              20.523             6.232         6.354
STRESS_MAG         0.054               0.064            -0.010         0.022
SWCF             -44.182             -47.208             3.026        13.990
T_850            288.911             281.089             7.823         8.026
TGCLDLWP          40.940              38.600             2.340        18.079
TGCLDIWP          13.694              17.432            -3.738         9.644
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.108               0.104             0.005         0.041
AODDUST            0.026               0.028            -0.001         0.029
TREFHT           295.743             287.593             8.150         8.874
TS               296.476             288.428             8.048         8.889
TS_LAND          291.750             281.337            10.413        10.887
U_200             17.345              17.108             0.236         3.943
VT_850             0.172               0.092             0.081         2.002
Z3_500            58.317              56.486             1.831         1.855
