DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.904               1.300             0.605        11.577
RESSURF            6.318               4.711             1.606        15.620
SOLIN            342.210             342.210             0.000         0.000
AAM            1.494e+26           1.367e+26         1.264e+25      -999.000
CHI_200            0.006               0.001             0.004         1.759
CLDHGH            37.844              38.122            -0.278         7.198
CLDLOW            37.025              42.668            -5.643         9.846
CLDMED            22.182              26.929            -4.747         7.992
CLDTOT            58.478              63.059            -4.581         8.781
EKE_850           22.633              26.558            -3.925         6.838
EP            -4.460e-02          -2.685e-02        -1.776e-02         1.389
FLNS              46.360              56.275            -9.916        13.446
FLNSC             64.152              82.122           -17.971        20.309
FLNT             245.588             238.041             7.547        12.144
FLNTC            267.201             261.777             5.424         9.747
FSDS             186.726             189.637            -2.911        17.652
FSDSC            240.165             249.361            -9.197         9.708
FSNS             167.248             165.758             1.490        14.786
FSNSC            216.448             220.360            -3.912        19.253
FSNSC_ICE         74.153              47.004            27.149        29.242
FSNSC_LAND       161.494             166.062            -4.568         6.321
FSNT             247.492             239.341             8.152        15.639
FSNTC            293.484             289.075             4.409        18.264
ICEAREA            2.863              20.640           -17.778         0.582
LHFLX             98.986              86.922            12.063        21.288
LWCF              21.613              23.736            -2.123         7.540
PRECT              3.461               3.007             0.454         1.334
PRECT_LAND         2.717               2.147             0.571         1.214
PRECT_OCEAN        3.782               3.506             0.277         1.394
PREH2O            42.015              25.262            16.753        18.553
PREH2O_OCEAN      45.780              29.413            16.367        19.865
PSI_200           -0.030              -0.025            -0.004         0.490
PS               987.007             985.363             1.644         2.862
PSL             1012.638            1011.454             1.184         2.473
QFLX               3.417               2.981             0.436         0.671
SHFLX             15.585              17.849            -2.264         9.820
SNOWHLND           7.932              10.374            -2.442        13.033
SST               26.447              20.183             6.263         6.416
STRESS_MAG         0.063               0.069            -0.006         0.020
SWCF             -45.992             -49.734             3.742        15.952
T_850            288.891             280.946             7.945         8.172
TGCLDLWP          43.912              40.742             3.170        20.351
TGCLDIWP          12.646              16.152            -3.506         9.676
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.111               0.098             0.013         0.041
AODDUST            0.016               0.017            -0.001         0.014
TREFHT           295.822             287.601             8.221         8.969
TS               296.485             288.406             8.080         8.933
TS_LAND          292.299             281.961            10.338        10.729
U_200             16.518              16.065             0.453         3.494
VT_850            -0.018               0.173            -0.191         2.055
Z3_500            58.345              56.486             1.859         1.877
