DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -28.424             -28.572             0.149         6.897
RESSURF          -11.139             -11.425             0.286         4.169
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.285              -0.089            -0.196         1.153
CLDHGH            36.340              36.243             0.097         3.870
CLDLOW            37.628              44.395            -6.767         9.718
CLDMED            22.862              29.832            -6.970         8.137
CLDTOT            57.666              62.820            -5.154         7.416
EKE_850           29.167              34.175            -5.008         6.401
EP            -1.142e-02           1.663e-04        -1.159e-02         0.670
FLNS              54.956              61.120            -6.164         9.415
FLNSC             74.824              88.478           -13.654        17.238
FLNT             243.681             231.683            11.999        13.551
FLNTC            262.893             251.665            11.228        14.092
FSDS             166.495             168.622            -2.127        11.227
FSDSC            211.445             220.793            -9.348         9.506
FSNS             143.992             138.143             5.849        12.254
FSNSC            184.107             184.017             0.091        15.600
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       168.087             168.566            -0.480         8.474
FSNT             215.257             203.110            12.147        15.391
FSNTC            252.864             244.581             8.282        16.562
ICEAREA            1.079              10.201            -9.122         0.496
LHFLX             77.810              64.107            13.702        18.128
LWCF              19.212              19.983            -0.771         4.982
PRECT              2.687               2.179             0.508         0.807
PRECT_LAND         2.185               1.693             0.492         0.847
PRECT_OCEAN        3.195               2.944             0.251         0.755
PREH2O            31.350              17.413            13.937        14.477
PREH2O_OCEAN      37.299              23.526            13.772        16.990
PSI_200           -7.190              -7.145            -0.045         0.256
PS               977.020             976.669             0.351         2.471
PSL             1016.150            1016.727            -0.577         1.924
QFLX               2.676               2.179             0.497         0.621
SHFLX             22.366              24.340            -1.975         8.239
SNOWHLND           1.294               4.741            -3.447        13.602
SST               25.179              18.027             7.152         7.268
STRESS_MAG         0.041               0.048            -0.006         0.009
SWCF             -37.606             -41.471             3.865        10.259
T_850            286.580             276.903             9.676         9.800
TGCLDLWP          39.605              35.982             3.623        15.126
TGCLDIWP          13.398              16.898            -3.500         9.381
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.086             0.010         0.021
AODDUST            0.035               0.033             0.002         0.015
TREFHT           292.794             281.993            10.801        11.625
TS               293.440             282.676            10.764        11.711
TS_LAND          291.215             279.056            12.158        12.451
U_200             19.509              19.421             0.088         2.314
VT_850             0.141               0.259            -0.118         1.299
Z3_500            58.092              56.091             2.002         2.015
