DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -118.680            -109.232            -9.448        15.353
RESSURF          -87.637             -80.167            -7.469        23.336
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.226               4.174            -1.948         2.224
CLDHGH            35.847              35.524             0.323         6.519
CLDLOW            43.200              50.381            -7.181        12.507
CLDMED            28.480              35.712            -7.233         9.585
CLDTOT            60.633              66.996            -6.363        10.579
EKE_850           33.758              42.534            -8.777        10.810
EP             1.624e-01           1.495e-01         1.288e-02         1.203
FLNS              55.937              59.469            -3.531         9.238
FLNSC             79.773              87.348            -7.575        18.154
FLNT             231.054             214.787            16.267        19.065
FLNTC            248.734             232.567            16.166        21.049
FSDS              89.429              90.153            -0.724        10.142
FSDSC            111.480             116.256            -4.776         5.422
FSNS              75.747              72.210             3.537         9.533
FSNSC             94.732              94.301             0.432        10.292
FSNSC_ICE          0.348               1.170            -0.821         0.080
FSNSC_LAND        82.511              77.164             5.346        14.841
FSNT             112.375             105.555             6.819        11.010
FSNTC            130.792             126.146             4.646        10.842
ICEAREA            1.326              13.179           -11.853         0.621
LHFLX             89.933              70.132            19.802        30.709
LWCF              17.679              17.780            -0.101         8.167
PRECT              2.891               2.191             0.700         1.297
PRECT_LAND         1.576               1.091             0.485         0.966
PRECT_OCEAN        4.190               3.700             0.490         1.614
PREH2O            21.372              11.490             9.883        10.942
PREH2O_OCEAN      28.276              18.201            10.074        13.895
PSI_200           -8.609              -8.420            -0.188         0.574
PS               976.633             976.786            -0.153         3.704
PSL             1016.922            1018.392            -1.470         3.328
QFLX               3.054               2.341             0.713         1.030
SHFLX             17.513              22.777            -5.264        16.091
SNOWHLND           2.113               6.307            -4.194        13.702
SST               23.372              16.231             7.140         7.246
STRESS_MAG         0.074               0.076            -0.002         0.023
SWCF             -18.417             -20.591             2.173         9.205
T_850            279.712             269.662            10.050        10.330
TGCLDLWP          31.841              24.120             7.721        23.994
TGCLDIWP          12.387              18.901            -6.514        20.942
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.063               0.056             0.007         0.023
AODDUST            0.009               0.011            -0.002         0.012
TREFHT           285.259             272.448            12.811        14.621
TS               286.007             273.265            12.743        14.866
TS_LAND          277.959             263.438            14.521        15.254
U_200             26.254              25.554             0.701         4.531
VT_850             0.236               0.427            -0.191         3.372
Z3_500            56.829              54.808             2.021         2.055
