DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            63.028              53.957             9.072        20.672
RESSURF           67.553              60.006             7.548        23.801
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.857              -4.233             1.376         2.591
CLDHGH            35.817              36.040            -0.223         4.905
CLDLOW            34.667              41.617            -6.951        11.712
CLDMED            16.672              22.850            -6.178         8.541
CLDTOT            55.820              60.262            -4.442         8.262
EKE_850           15.860              18.784            -2.924         4.694
EP            -3.260e-01          -2.005e-01        -1.255e-01         1.245
FLNS              50.685              58.706            -8.021        12.390
FLNSC             66.037              85.612           -19.575        20.835
FLNT             258.156             249.272             8.884        11.330
FLNTC            278.384             271.020             7.364         9.414
FSDS             241.617             242.291            -0.674        21.915
FSDSC            311.320             325.575           -14.255        14.987
FSNS             212.290             203.863             8.427        23.911
FSNSC            275.610             278.424            -2.815        30.078
FSNSC_ICE       -999.000             123.123          -999.000      -999.000
FSNSC_LAND       254.623             263.971            -9.347        12.855
FSNT             321.184             303.229            17.955        27.718
FSNTC            380.099             370.265             9.834        30.783
ICEAREA            0.056               7.475            -7.420         0.494
LHFLX             65.469              58.658             6.811        14.535
LWCF              20.228              21.748            -1.520         4.440
PRECT              2.631               2.247             0.383         1.282
PRECT_LAND         3.034               2.543             0.491         1.656
PRECT_OCEAN        2.269               2.117             0.153         0.843
PREH2O            44.315              24.943            19.372        20.041
PREH2O_OCEAN      48.784              29.672            19.112        22.091
PSI_200           -4.907              -4.985             0.078         0.440
PS               976.481             976.290             0.191         2.248
PSL             1014.494            1014.948            -0.454         2.051
QFLX               2.305               2.047             0.258         0.460
SHFLX             28.583              26.494             2.089         8.440
SNOWHLND           0.346               2.869            -2.523        14.375
SST               26.535              19.344             7.191         7.376
STRESS_MAG         0.042               0.048            -0.006         0.012
SWCF             -58.914             -67.036             8.122        19.836
T_850            294.607             284.908             9.699         9.825
TGCLDLWP          50.124              53.210            -3.086        16.038
TGCLDIWP          15.504              15.917            -0.413         5.490
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.136               0.119             0.017         0.043
AODDUST            0.059               0.054             0.006         0.035
TREFHT           300.495             291.092             9.403         9.744
TS               301.004             291.598             9.405         9.807
TS_LAND          304.635             293.671            10.964        11.170
U_200             11.089              11.703            -0.614         3.157
VT_850             0.052               0.076            -0.025         1.884
Z3_500            59.504              57.514             1.990         2.001
