DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            18.884              13.957             4.927        16.713
RESSURF           19.358              16.171             3.187        18.796
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.530               1.577            -1.047         2.039
CLDHGH            36.873              37.321            -0.448         6.044
CLDLOW            36.501              42.488            -5.988        11.173
CLDMED            23.986              31.102            -7.116         9.025
CLDTOT            58.079              62.926            -4.847         9.400
EKE_850           27.886              32.989            -5.103         6.929
EP             1.483e-01           4.084e-02         1.074e-01         0.736
FLNS              60.142              64.238            -4.096         9.721
FLNSC             81.683              91.989           -10.305        15.546
FLNT             240.232             227.533            12.699        14.945
FLNTC            259.902             248.500            11.401        14.130
FSDS             206.897             212.609            -5.712        22.600
FSDSC            261.984             272.987           -11.003        11.612
FSNS             176.159             165.225            10.934        23.405
FSNSC            225.171             217.778             7.393        32.828
FSNSC_ICE         71.997              44.829            27.168        37.050
FSNSC_LAND       206.287             200.371             5.916        21.724
FSNT             259.116             241.490            17.625        26.294
FSNTC            303.914             287.828            16.086        34.395
ICEAREA            2.924              13.650           -10.727         0.576
LHFLX             70.327              57.226            13.101        19.588
LWCF              19.670              20.967            -1.297         5.904
PRECT              2.246               1.893             0.353         0.763
PRECT_LAND         1.907               1.529             0.378         0.774
PRECT_OCEAN        2.644               2.542             0.102         0.773
PREH2O            25.274              14.693            10.581        11.225
PREH2O_OCEAN      30.626              20.148            10.479        13.485
PSI_200           -8.427              -8.356            -0.071         0.492
PS               977.709             977.128             0.580         2.656
PSL             1016.825            1017.128            -0.304         2.049
QFLX               2.395               1.934             0.461         0.650
SHFLX             26.331              27.590            -1.259        10.041
SNOWHLND           2.394               6.675            -4.280        13.393
SST               23.069              16.145             6.924         7.034
STRESS_MAG         0.043               0.047            -0.004         0.015
SWCF             -44.798             -46.338             1.540        18.408
T_850            284.806             275.410             9.395         9.515
TGCLDLWP          35.943              32.026             3.917        19.606
TGCLDIWP          13.940              17.997            -4.057        10.484
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.096             0.011         0.034
AODDUST            0.050               0.047             0.003         0.030
TREFHT           291.080             280.748            10.332        11.125
TS               291.741             281.412            10.329        11.254
TS_LAND          291.002             279.433            11.569        11.962
U_200             22.058              21.338             0.720         4.928
VT_850             0.304               0.410            -0.106         1.858
Z3_500            57.695              55.767             1.928         1.952
