DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -76.935             -72.996            -3.940         9.091
RESSURF          -43.854             -41.705            -2.149        16.204
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.040              -1.860             0.820         1.588
CLDHGH            36.771              36.042             0.730         4.867
CLDLOW            36.172              43.133            -6.961        11.042
CLDMED            22.334              29.676            -7.342         9.035
CLDTOT            56.144              61.105            -4.961         8.276
EKE_850           24.922              31.002            -6.081         8.672
EP            -2.874e-02           9.940e-03        -3.868e-02         0.826
FLNS              53.069              62.022            -8.953        12.727
FLNSC             71.823              88.929           -17.106        20.543
FLNT             245.258             235.161            10.097        12.388
FLNTC            264.531             254.579             9.951        13.450
FSDS             128.033             129.430            -1.396         9.372
FSDSC            161.011             168.347            -7.336         7.792
FSNS             111.754             111.268             0.485         7.534
FSNSC            140.920             145.559            -4.639         6.451
FSNSC_ICE       -999.000               9.649          -999.000      -999.000
FSNSC_LAND       128.924             132.753            -3.828         5.939
FSNT             168.323             162.166             6.158         8.835
FSNTC            196.637             194.084             2.553         4.095
ICEAREA            0.003               6.515            -6.513         0.385
LHFLX             85.502              70.437            15.065        22.221
LWCF              19.272              19.418            -0.146         5.568
PRECT              2.979               2.386             0.593         0.987
PRECT_LAND         2.217               1.613             0.604         0.999
PRECT_OCEAN        3.691               3.346             0.345         0.921
PREH2O            34.423              18.537            15.886        16.721
PREH2O_OCEAN      41.417              25.081            16.337        19.278
PSI_200           -6.840              -6.818            -0.022         0.333
PS               977.249             976.441             0.808         2.718
PSL             1016.352            1016.409            -0.057         2.299
QFLX               2.951               2.396             0.554         0.757
SHFLX             17.037              20.515            -3.477         8.158
SNOWHLND           0.321               3.118            -2.798        14.690
SST               26.963              19.299             7.664         7.849
STRESS_MAG         0.041               0.052            -0.010         0.019
SWCF             -28.314             -31.918             3.605         8.214
T_850            287.222             277.677             9.545         9.716
TGCLDLWP          40.571              34.571             6.000        21.394
TGCLDIWP          11.774              14.762            -2.989         9.158
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.081               0.075             0.006         0.025
AODDUST            0.024               0.021             0.002         0.013
TREFHT           294.329             283.684            10.645        11.576
TS               294.997             284.430            10.567        11.618
TS_LAND          291.241             279.686            11.555        11.886
U_200             18.618              19.053            -0.434         2.560
VT_850            -0.042               0.106            -0.148         1.632
Z3_500            58.334              56.270             2.064         2.082
