DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -22.768             -23.073             0.306         7.070
RESSURF           -5.227              -5.246             0.019         3.887
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.572               0.664            -0.092         0.621
CLDHGH            35.149              35.356            -0.207         3.578
CLDLOW            44.935              51.974            -7.038         9.365
CLDMED            24.530              31.336            -6.806         8.126
CLDTOT            61.199              67.066            -5.867         7.989
EKE_850           36.278              41.052            -4.774         6.247
EP             1.856e-01           1.157e-01         6.988e-02         0.620
FLNS              47.115              54.307            -7.192         9.878
FLNSC             72.013              87.837           -15.824        17.824
FLNT             235.734             226.667             9.068        10.056
FLNTC            254.556             247.413             7.143         9.172
FSDS             164.620             166.323            -1.703        14.959
FSDSC            215.098             223.565            -8.467         8.605
FSNS             144.553             140.658             3.896        10.187
FSNSC            190.564             192.350            -1.786        16.132
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       116.846             120.131            -3.285         5.210
FSNT             212.967             203.593             9.374        12.654
FSNTC            255.150             249.888             5.262        15.753
ICEAREA            1.198               9.668            -8.470         0.530
LHFLX             92.112              76.949            15.164        16.990
LWCF              18.822              20.746            -1.924         5.147
PRECT              2.953               2.487             0.466         0.734
PRECT_LAND         1.899               1.353             0.545         0.746
PRECT_OCEAN        3.182               2.828             0.354         0.650
PREH2O            28.236              17.042            11.194        11.965
PREH2O_OCEAN      30.039              19.447            10.592        12.540
PSI_200            7.983               7.762             0.221         0.309
PS               985.376             982.621             2.755         3.527
PSL             1009.400            1007.040             2.360         2.857
QFLX               3.139               2.603             0.536         0.588
SHFLX             10.553              14.648            -4.095         7.450
SNOWHLND          39.269              47.379            -8.110        23.537
SST               21.317              14.731             6.586         6.657
STRESS_MAG         0.078               0.086            -0.009         0.016
SWCF             -42.183             -46.295             4.111        14.331
T_850            282.841             275.046             7.795         7.892
TGCLDLWP          40.890              38.135             2.755        20.119
TGCLDIWP          10.728              16.090            -5.361        10.172
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.081             0.026         0.038
AODDUST            0.002               0.002            -0.000         0.003
TREFHT           288.799             280.641             8.159         8.599
TS               289.335             281.340             7.995         8.515
TS_LAND          273.363             262.902            10.461        10.768
U_200             26.827              25.905             0.922         2.171
VT_850            -0.158              -0.275             0.117         1.193
Z3_500            56.748              54.829             1.919         1.927
