DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            83.194              77.467             5.728        16.441
RESSURF           90.498              85.355             5.143        22.587
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.987              -3.527             1.540         1.996
CLDHGH            34.648              34.588             0.061         4.939
CLDLOW            47.382              52.024            -4.642         8.438
CLDMED            21.444              27.509            -6.065         8.125
CLDTOT            63.318              66.744            -3.426         7.350
EKE_850           23.489              27.310            -3.821         5.334
EP             1.728e-02           2.953e-02        -1.225e-02         0.881
FLNS              41.360              50.924            -9.564        12.553
FLNSC             66.102              84.643           -18.541        19.816
FLNT             243.119             236.394             6.725         9.093
FLNTC            261.515             256.164             5.351         7.130
FSDS             256.812             263.142            -6.331        28.812
FSDSC            340.505             353.268           -12.763        13.217
FSNS             220.883             217.243             3.640        18.752
FSNSC            298.307             300.009            -1.701        31.255
FSNSC_ICE       -999.000             111.412          -999.000      -999.000
FSNSC_LAND       174.402             178.100            -3.698         8.842
FSNT             326.314             313.860            12.453        21.117
FSNTC            395.852             386.514             9.337        31.331
ICEAREA            0.098               5.746            -5.648         0.465
LHFLX             80.296              69.301            10.995        16.809
LWCF              18.396              19.770            -1.375         4.945
PRECT              2.747               2.338             0.408         0.867
PRECT_LAND         2.889               2.177             0.712         1.152
PRECT_OCEAN        2.718               2.439             0.279         0.791
PREH2O            34.464              20.750            13.714        14.901
PREH2O_OCEAN      35.632              22.383            13.249        14.998
PSI_200            7.286               7.042             0.244         0.416
PS               985.743             982.944             2.799         3.677
PSL             1009.320            1006.911             2.409         3.160
QFLX               2.764               2.368             0.396         0.537
SHFLX              8.729              11.663            -2.934         6.473
SNOWHLND          38.151              47.318            -9.167        25.654
SST               22.427              15.729             6.698         6.788
STRESS_MAG         0.067               0.076            -0.009         0.024
SWCF             -69.538             -72.654             3.116        25.647
T_850            285.588             277.903             7.685         7.769
TGCLDLWP          47.416              43.994             3.422        23.305
TGCLDIWP           9.682              12.531            -2.849         6.655
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.082             0.015         0.034
AODDUST            0.002               0.003            -0.001         0.005
TREFHT           291.778             284.349             7.428         7.610
TS               292.168             284.885             7.283         7.496
TS_LAND          282.162             272.840             9.322         9.617
U_200             21.699              20.906             0.793         2.709
VT_850            -0.095              -0.143             0.048         1.883
Z3_500            57.428              55.511             1.917         1.929
