DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -122.484            -116.084            -6.400         8.805
RESSURF          -95.710             -89.066            -6.644        20.289
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.133               4.843            -1.709         1.960
CLDHGH            34.892              35.109            -0.217         4.669
CLDLOW            43.311              52.394            -9.083        11.792
CLDMED            27.575              34.965            -7.390         9.515
CLDTOT            59.351              67.377            -8.026        10.433
EKE_850           45.976              51.204            -5.228         7.993
EP             3.051e-01           1.683e-01         1.368e-01         0.766
FLNS              52.269              57.122            -4.853         9.286
FLNSC             77.777              90.896           -13.119        17.206
FLNT             229.287             217.796            11.491        12.704
FLNTC            248.610             239.590             9.020        12.288
FSDS              79.212              77.117             2.095         5.965
FSDSC            100.219             104.379            -4.160         4.588
FSNS              72.160              69.698             2.462         5.183
FSNSC             90.544              93.420            -2.876         4.456
FSNSC_ICE          0.814               2.156            -1.342         0.163
FSNSC_LAND        67.417              69.588            -2.170         3.365
FSNT             106.803             101.712             5.091         6.909
FSNTC            124.776             124.235             0.541         2.271
ICEAREA            1.771              13.121           -11.350         0.680
LHFLX            103.603              84.378            19.225        23.175
LWCF              19.323              21.794            -2.471         6.796
PRECT              3.207               2.669             0.538         0.939
PRECT_LAND         1.084               0.785             0.299         0.703
PRECT_OCEAN        3.664               3.207             0.457         0.878
PREH2O            22.508              13.621             8.887         9.476
PREH2O_OCEAN      24.820              16.143             8.677        10.316
PSI_200            7.958               7.774             0.184         0.385
PS               985.616             982.542             3.074         4.020
PSL             1009.988            1007.313             2.675         3.402
QFLX               3.512               2.838             0.674         0.801
SHFLX             11.998              17.264            -5.266        13.110
SNOWHLND          39.844              47.414            -7.571        23.028
SST               19.841              13.309             6.532         6.602
STRESS_MAG         0.092               0.099            -0.007         0.020
SWCF             -17.973             -22.523             4.550         7.032
T_850            280.135             272.263             7.872         8.036
TGCLDLWP          36.066              32.939             3.127        20.985
TGCLDIWP          11.769              20.099            -8.330        15.904
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.079             0.034         0.043
AODDUST            0.001               0.002            -0.000         0.002
TREFHT           286.138             277.306             8.832         9.760
TS               286.795             278.147             8.648         9.819
TS_LAND          265.894             254.812            11.082        11.459
U_200             31.450              30.169             1.281         3.360
VT_850            -0.232              -0.415             0.183         1.656
Z3_500            56.155              54.207             1.949         1.963
