DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -74.017             -71.493            -2.524         7.431
RESSURF          -48.941             -46.801            -2.140        13.695
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.239              -0.967             0.728         1.438
CLDHGH            35.720              36.188            -0.468         5.004
CLDLOW            43.863              50.595            -6.732        10.000
CLDMED            24.146              31.314            -7.168         9.083
CLDTOT            60.905              66.528            -5.623         8.586
EKE_850           33.175              38.629            -5.454         7.617
EP             1.504e-01           1.091e-01         4.127e-02         0.743
FLNS              45.343              53.241            -7.898        11.604
FLNSC             68.630              85.873           -17.243        19.740
FLNT             236.174             227.292             8.882        10.591
FLNTC            255.720             248.941             6.779         9.692
FSDS             119.585             118.483             1.102         9.261
FSDSC            156.447             162.621            -6.174         6.426
FSNS             108.691             106.651             2.040         8.048
FSNSC            141.747             146.214            -4.467         6.663
FSNSC_ICE       -999.000              18.850          -999.000      -999.000
FSNSC_LAND        91.533              94.425            -2.892         4.251
FSNT             162.157             155.799             6.358         9.601
FSNTC            193.612             192.450             1.162         4.163
ICEAREA            0.067               5.683            -5.616         0.655
LHFLX            102.126              85.747            16.378        19.777
LWCF              19.546              21.649            -2.102         5.690
PRECT              3.338               2.799             0.538         0.897
PRECT_LAND         2.053               1.316             0.737         0.967
PRECT_OCEAN        3.608               3.177             0.430         0.817
PREH2O            31.392              18.798            12.594        13.598
PREH2O_OCEAN      33.327              20.925            12.402        14.012
PSI_200            8.260               8.180             0.080         0.320
PS               985.522             982.607             2.915         4.275
PSL             1009.655            1007.135             2.519         3.648
QFLX               3.488               2.909             0.579         0.676
SHFLX             10.164              14.464            -4.300         8.768
SNOWHLND          37.179              47.271           -10.092        28.304
SST               22.293              15.505             6.788         6.876
STRESS_MAG         0.075               0.088            -0.012         0.026
SWCF             -31.455             -36.651             5.196         9.598
T_850            283.916             276.125             7.790         7.916
TGCLDLWP          40.321              39.005             1.316        21.834
TGCLDIWP          11.067              16.381            -5.314        11.355
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.083             0.020         0.036
AODDUST            0.001               0.001            -0.001         0.003
TREFHT           289.903             281.634             8.268         8.867
TS               290.528             282.422             8.105         8.813
TS_LAND          271.609             260.616            10.992        11.490
U_200             24.905              25.036            -0.131         2.773
VT_850            -0.129              -0.217             0.088         2.498
Z3_500            57.018              55.049             1.969         1.993
