DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            22.303              17.799             4.504        15.531
RESSURF           33.223              29.516             3.707        17.071
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.382               2.305            -0.923         1.615
CLDHGH            35.370              35.521            -0.151         5.659
CLDLOW            45.193              52.887            -7.694        10.771
CLDMED            24.998              31.556            -6.558         8.390
CLDTOT            61.235              67.611            -6.376         9.295
EKE_850           34.163              39.782            -5.619         7.691
EP             2.670e-01           1.567e-01         1.103e-01         0.802
FLNS              49.527              55.947            -6.420        10.039
FLNSC             75.602              89.945           -14.343        16.583
FLNT             234.262             225.213             9.049        10.474
FLNTC            252.328             244.977             7.351         9.055
FSDS             202.904             206.556            -3.652        23.729
FSDSC            263.274             273.995           -10.721        11.193
FSNS             176.495             169.043             7.452        19.093
FSNSC            231.698             229.761             1.938        31.933
FSNSC_ICE         74.153              61.189            12.964        29.242
FSNSC_LAND       134.044             138.405            -4.361         6.076
FSNT             256.565             243.012            13.553        21.188
FSNTC            306.358             296.360             9.998        31.833
ICEAREA            2.860              14.125           -11.265         0.599
LHFLX             82.418              68.360            14.058        18.782
LWCF              18.066              19.763            -1.697         5.793
PRECT              2.524               2.139             0.385         0.846
PRECT_LAND         1.575               1.134             0.441         0.792
PRECT_OCEAN        2.737               2.448             0.290         0.812
PREH2O            24.529              14.994             9.535        10.286
PREH2O_OCEAN      26.393              17.374             9.019        10.798
PSI_200            8.446               8.049             0.397         0.616
PS               984.629             982.420             2.209         3.627
PSL             1008.642            1006.827             1.815         3.076
QFLX               2.791               2.296             0.495         0.637
SHFLX             11.327              15.220            -3.894         8.881
SNOWHLND          42.004              47.515            -5.511        18.027
SST               19.722              13.267             6.455         6.535
STRESS_MAG         0.091               0.095            -0.004         0.022
SWCF             -49.793             -53.348             3.555        21.863
T_850            281.714             273.900             7.814         7.935
TGCLDLWP          39.719              36.581             3.138        20.813
TGCLDIWP          10.432              15.341            -4.909        11.251
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.117               0.081             0.036         0.049
AODDUST            0.003               0.004            -0.000         0.004
TREFHT           287.357             279.277             8.080         8.494
TS               287.831             279.912             7.919         8.423
TS_LAND          273.753             263.364            10.389        10.638
U_200             29.281              27.478             1.803         4.598
VT_850            -0.175              -0.318             0.144         2.395
Z3_500            56.388              54.553             1.834         1.851
