DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            46.759              46.523             0.236         5.721
RESSURF           15.152              14.833             0.318         5.743
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.261              -0.524             0.263         1.976
CLDHGH            42.071              43.293            -1.222         5.860
CLDLOW            29.747              31.738            -1.991         5.423
CLDMED            18.772              20.021            -1.248         5.534
CLDTOT            58.075              60.279            -2.204         5.891
EKE_850           14.773              15.020            -0.247         3.566
EP            -1.567e-01          -1.052e-01        -5.148e-02         1.464
FLNS              38.266              52.062           -13.796        14.936
FLNSC             47.325              68.714           -21.389        21.725
FLNT             256.549             252.534             4.015         9.287
FLNTC            283.520             283.689            -0.169         3.586
FSDS             219.834             223.782            -3.948        12.297
FSDSC            283.585             292.307            -8.722         8.941
FSNS             203.706             207.157            -3.451        11.293
FSNSC            263.704             271.587            -7.883         8.156
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       236.894             242.866            -5.971         6.909
FSNT             303.308             299.057             4.251        10.461
FSNTC            360.286             359.116             1.170         1.795
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            133.283             123.173            10.110        17.389
LWCF              26.971              31.155            -4.184         7.587
PRECT              4.782               4.374             0.408         1.336
PRECT_LAND         4.204               3.723             0.481         0.989
PRECT_OCEAN        4.952               4.558             0.394         1.431
PREH2O            63.922              40.624            23.298        23.830
PREH2O_OCEAN      66.625              42.581            24.045        24.589
PSI_200           -0.784              -0.617            -0.166         0.254
PS               997.503             995.797             1.706         1.889
PSL             1012.420            1010.866             1.554         1.723
QFLX               4.625               4.269             0.356         0.492
SHFLX             17.006              17.089            -0.083         8.276
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.416              27.051             5.365         5.395
STRESS_MAG         0.044               0.053            -0.009         0.016
SWCF             -56.978             -60.059             3.081        10.538
T_850            296.244             289.659             6.585         6.646
TGCLDLWP          48.739              47.805             0.934        12.218
TGCLDIWP          15.156              17.712            -2.556         5.518
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.132               0.140            -0.008         0.037
AODDUST            0.026               0.030            -0.004         0.026
TREFHT           304.820             298.703             6.117         6.211
TS               305.652             299.698             5.954         6.093
TS_LAND          305.847             297.883             7.964         8.040
U_200              3.484               3.474             0.009         2.191
VT_850             0.280               0.385            -0.105         1.352
Z3_500            60.095              58.417             1.678         1.678
