DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            50.771              50.473             0.298         7.383
RESSURF           13.847              14.806            -0.959        13.499
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.228              -0.610             0.382         2.636
CLDHGH            42.946              44.526            -1.580         8.615
CLDLOW            29.042              30.979            -1.937         6.724
CLDMED            18.821              20.501            -1.680         7.286
CLDTOT            57.765              59.957            -2.191         8.126
EKE_850            9.367              10.178            -0.812         2.933
EP            -1.634e-01          -1.457e-01        -1.767e-02         2.046
FLNS              39.640              53.418           -13.778        15.397
FLNSC             48.542              69.777           -21.236        21.823
FLNT             255.450             251.585             3.865        12.344
FLNTC            283.176             283.391            -0.216         4.600
FSDS             222.780             226.745            -3.965        15.830
FSDSC            287.955             296.430            -8.475         8.831
FSNS             206.463             209.970            -3.508        14.686
FSNSC            267.778             275.434            -7.656         8.040
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       240.772             247.127            -6.355         7.210
FSNT             306.221             302.059             4.163        13.390
FSNTC            364.714             363.357             1.357         2.055
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            137.212             125.511            11.701        23.520
LWCF              27.725              31.806            -4.081        10.286
PRECT              4.925               4.501             0.424         1.796
PRECT_LAND         4.763               4.268             0.495         1.359
PRECT_OCEAN        4.955               4.540             0.415         1.916
PREH2O            62.412              39.641            22.771        23.820
PREH2O_OCEAN      65.338              41.773            23.565        24.529
PSI_200            1.208               1.267            -0.060         0.296
PS               997.042             995.106             1.936         2.168
PSL             1011.979            1010.191             1.787         2.027
QFLX               4.762               4.355             0.407         0.635
SHFLX             15.763              16.235            -0.472         7.957
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.435              27.044             5.391         5.444
STRESS_MAG         0.050               0.060            -0.010         0.021
SWCF             -58.493             -61.298             2.805        13.686
T_850            295.722             289.199             6.523         6.611
TGCLDLWP          49.954              48.346             1.608        16.047
TGCLDIWP          16.185              18.791            -2.606         8.484
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.117               0.131            -0.014         0.044
AODDUST            0.019               0.025            -0.006         0.023
TREFHT           304.524             298.373             6.151         6.295
TS               305.336             299.348             5.988         6.182
TS_LAND          304.523             296.452             8.071         8.260
U_200              3.665               3.480             0.185         3.128
VT_850            -1.927              -2.479             0.552         1.984
Z3_500            60.009              58.310             1.698         1.699
