DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            27.705              28.761            -1.055         8.467
RESSURF           -6.019              -3.547            -2.471        10.818
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.234              -0.529             0.296         3.509
CLDHGH            41.694              42.137            -0.443         7.148
CLDLOW            30.334              31.873            -1.539         6.490
CLDMED            19.021              20.148            -1.127         7.632
CLDTOT            58.522              60.229            -1.708         7.598
EKE_850           11.277               9.301             1.976         4.453
EP             7.251e-02           5.112e-02         2.138e-02         1.801
FLNS              37.577              51.055           -13.478        15.118
FLNSC             46.800              67.801           -21.002        21.460
FLNT             258.410             253.326             5.084        11.153
FLNTC            283.884             283.419             0.465         4.826
FSDS             204.791             208.604            -3.813        15.724
FSDSC            267.453             275.900            -8.447         9.097
FSNS             189.408             192.755            -3.347        14.448
FSNSC            248.252             255.891            -7.639         8.235
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       223.404             228.960            -5.556         8.023
FSNT             286.115             282.087             4.029        13.456
FSNTC            341.882             340.911             0.971         1.735
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            140.856             127.929            12.927        22.201
LWCF              25.474              30.093            -4.619         8.782
PRECT              4.784               4.361             0.422         1.651
PRECT_LAND         3.330               2.990             0.340         0.998
PRECT_OCEAN        5.235               4.776             0.460         1.814
PREH2O            64.023              40.999            23.024        23.962
PREH2O_OCEAN      66.980              43.147            23.832        24.644
PSI_200           -2.915              -2.668            -0.247         0.384
PS               998.427             996.614             1.813         1.987
PSL             1013.372            1011.716             1.656         1.824
QFLX               4.856               4.413             0.444         0.638
SHFLX             16.993              17.318            -0.326         8.107
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.257              26.922             5.335         5.355
STRESS_MAG         0.062               0.072            -0.010         0.018
SWCF             -55.766             -58.824             3.058        13.658
T_850            296.092             289.490             6.602         6.671
TGCLDLWP          48.251              48.651            -0.400        16.340
TGCLDIWP          13.132              16.084            -2.952         7.506
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.163               0.166            -0.003         0.054
AODDUST            0.036               0.038            -0.002         0.045
TREFHT           304.658             298.569             6.089         6.189
TS               305.444             299.530             5.914         6.051
TS_LAND          305.403             297.550             7.853         7.965
U_200              1.027               1.313            -0.287         2.617
VT_850             2.600               3.280            -0.680         2.091
Z3_500            60.184              58.486             1.698         1.698
