DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            53.749              53.251             0.498         6.913
RESSURF           25.453              23.821             1.631         9.900
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.283              -0.564             0.280         2.926
CLDHGH            42.635              44.189            -1.554         8.008
CLDLOW            29.224              31.125            -1.900         6.125
CLDMED            17.782              19.184            -1.402         7.347
CLDTOT            57.963              60.250            -2.287         7.325
EKE_850           10.392              10.422            -0.030         3.335
EP            -1.957e-01          -9.897e-02        -9.676e-02         2.005
FLNS              38.442              52.401           -13.959        15.129
FLNSC             47.153              68.413           -21.260        21.686
FLNT             256.142             252.932             3.210        12.055
FLNTC            283.902             284.433            -0.531         4.109
FSDS             226.524             230.934            -4.410        14.856
FSDSC            288.063             296.517            -8.454         8.889
FSNS             209.805             213.779            -3.975        13.937
FSNSC            267.795             275.480            -7.685         8.099
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       239.759             245.504            -5.745         7.290
FSNT             309.891             306.183             3.708        12.422
FSNTC            365.036             363.737             1.299         1.826
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            128.772             120.582             8.189        18.950
LWCF              27.760              31.500            -3.741         9.604
PRECT              4.670               4.278             0.393         1.866
PRECT_LAND         4.320               3.856             0.464         1.031
PRECT_OCEAN        4.775               4.391             0.384         2.064
PREH2O            64.489              41.196            23.294        24.069
PREH2O_OCEAN      67.049              43.056            23.992        24.788
PSI_200            0.110               0.118            -0.009         0.346
PS               996.544             995.365             1.179         1.473
PSL             1011.428            1010.401             1.027         1.297
QFLX               4.475               4.179             0.296         0.502
SHFLX             17.138              16.975             0.164         8.194
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.817              27.454             5.364         5.417
STRESS_MAG         0.040               0.051            -0.011         0.021
SWCF             -55.145             -57.554             2.408        12.646
T_850            296.706             290.182             6.524         6.606
TGCLDLWP          46.023              44.185             1.839        11.794
TGCLDIWP          15.849              17.872            -2.023         6.720
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.114               0.130            -0.016         0.050
AODDUST            0.028               0.034            -0.006         0.038
TREFHT           305.251             299.184             6.067         6.174
TS               306.147             300.217             5.930         6.089
TS_LAND          306.693             298.818             7.875         7.989
U_200              6.234               6.102             0.131         3.842
VT_850             0.317               0.084             0.233         1.602
Z3_500            60.056              58.438             1.618         1.619
