DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            54.811              53.623             1.188         9.138
RESSURF           27.381              24.277             3.104        13.572
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.293              -0.399             0.106         2.013
CLDHGH            41.054              42.360            -1.306         9.756
CLDLOW            30.403              32.997            -2.594         7.553
CLDMED            19.495              20.255            -0.760         6.471
CLDTOT            58.094              60.706            -2.612         8.747
EKE_850           10.801              11.444            -0.643         3.432
EP            -3.411e-01          -2.263e-01        -1.148e-01         2.054
FLNS              37.419              51.371           -13.952        16.441
FLNSC             46.841              68.879           -22.038        22.983
FLNT             256.140             252.261             3.879        13.276
FLNTC            283.083             283.503            -0.420         5.384
FSDS             225.214             228.825            -3.612        16.927
FSDSC            290.902             300.403            -9.501         9.823
FSNS             209.117             212.115            -2.998        15.265
FSNSC            271.018             279.568            -8.549         8.997
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.745             249.895            -6.150         7.154
FSNT             310.951             305.884             5.067        14.504
FSNTC            369.506             368.475             1.031         2.231
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            126.192             118.652             7.540        22.525
LWCF              26.943              31.242            -4.299        10.066
PRECT              4.746               4.355             0.391         1.862
PRECT_LAND         4.388               3.794             0.595         1.703
PRECT_OCEAN        4.845               4.518             0.327         1.916
PREH2O            64.718              40.647            24.072        24.872
PREH2O_OCEAN      67.119              42.321            24.798        25.496
PSI_200           -1.536              -1.185            -0.351         0.479
PS               997.994             996.106             1.888         2.103
PSL             1012.893            1011.156             1.736         1.960
QFLX               4.405               4.129             0.276         0.616
SHFLX             18.125              17.816             0.309        11.807
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.141              26.784             5.357         5.390
STRESS_MAG         0.050               0.056            -0.006         0.018
SWCF             -58.555             -62.591             4.036        14.879
T_850            296.465             289.772             6.694         6.809
TGCLDLWP          50.733              50.097             0.636        18.910
TGCLDIWP          15.441              18.144            -2.703         8.522
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.133               0.133            -0.001         0.046
AODDUST            0.020               0.024            -0.004         0.020
TREFHT           304.837             298.683             6.154         6.280
TS               305.667             299.694             5.973         6.154
TS_LAND          306.746             298.702             8.044         8.234
U_200              3.062               3.028             0.035         3.039
VT_850             0.137               0.649            -0.512         2.065
Z3_500            60.128              58.431             1.697         1.697
